Day,Exponential_Pred,Logistic_Pred,Richards_Pred,Gompertz_Pred,Simple Average_Pred
384.0,23882.400524861463,22781.741325975134,22728.119770565863,22278.08972300833,22917.5878361027
385.0,23964.868139405782,22863.57364210755,22810.5049620302,22371.948248406537,23002.72374798752
386.0,24047.564367070274,22945.70534555849,22893.190391203578,22466.188375239,23088.162119767836
387.0,24130.489841606264,23028.137243114266,22976.176864044668,22560.810175903767,23173.90353116724
388.0,24213.645198521917,23110.87014134621,23059.465186286343,22655.81371472108,23259.948560218887
389.0,24297.03107508712,23193.90484658692,23143.05616341195,22751.19904793233,23346.29778325458
390.0,24380.6481103384,23277.242164906434,23226.950600631328,22846.966223699397,23432.95177489389
391.0,24464.496945083745,23360.882902088037,23311.149302856662,22943.115282104394,23519.91110803321
392.0,24548.57822190761,23444.827863604078,23395.653074678175,23039.64625514974,23607.1763538349
393.0,24632.89258517578,23529.077854591473,23480.46272033962,23136.55916675876,23694.748081716407
394.0,24717.4406810403,23613.633679827057,23565.57904371355,23233.854032776533,23782.62685933936
395.0,24802.22315744449,23698.496143702745,23651.00284827648,23331.530860971223,23870.813252598735
396.0,24887.240664127825,23783.666050200532,23736.73493708373,23429.589651035734,23959.307825611955
397.0,24972.493852630996,23869.14420286723,23822.77611274423,23528.030394589838,24048.111140708075
398.0,25057.98337630086,23954.93140478914,23909.127177395017,23626.85307518257,24137.223758416898
399.0,25143.709890295428,24041.028458566376,23995.788932675605,23726.057668295136,24226.64623745814
400.0,25229.674051588947,24127.436166287174,24082.76217970215,23825.644141344084,24316.37913473059
401.0,25315.87651897687,24214.155329501824,24170.047719041406,23925.612453684975,24406.423005301272
402.0,25402.31795308095,24301.186749196604,24257.64635068451,24025.962556616323,24496.778402394593
403.0,25488.999016354297,24388.531225767343,24345.55887402058,24126.694393383998,24587.445877381553
404.0,25575.92037308641,24476.18955899297,24433.7860878101,24227.80789918596,24678.425979768857
405.0,25663.08268940834,24564.16254800868,24522.328790158124,24329.303001177384,24769.71925718813
406.0,25750.486633297725,24652.45099127911,24611.187778487332,24431.17961847615,24861.32625538508
407.0,25838.132874583964,24741.055686571148,24700.363849510795,24533.437662168766,24953.247518208667
408.0,25926.022084953333,24829.97743092665,24789.85779920462,24636.077035316535,25045.483587600283
409.0,26014.154937954096,24919.217020634962,24879.6704227804,24739.097632962224,25138.035003582918
410.0,26102.53210900173,25008.77525120521,24969.802514657444,24842.499342137064,25230.90230425036
411.0,26191.154275384055,25098.652917338404,25060.254868434873,24946.282041868028,25324.08602575634
412.0,26280.022116266427,25188.8508128994,25151.028276863402,25050.445603185613,25417.58670230371
413.0,26369.13631269699,25279.369730888597,25242.123531817073,25154.9898891319,25511.40486613364
414.0,26458.497547611823,25370.210463413503,25333.541424264662,25259.914754769008,25605.54104751475
415.0,26548.10650584024,25461.373801660047,25425.282744241023,25365.220047187868,25699.99577473229
416.0,26637.963874109962,25552.860535863787,25517.34828081815,25470.905605517404,25794.769574077323
417.0,26728.07034105249,25644.67145528082,25609.738822076033,25576.971260934093,25889.86296983586
418.0,26818.42659720829,25736.80734815858,25702.455155073396,25683.416836671742,25985.276484278
419.0,26909.033335032087,25829.269001706394,25795.49806581819,25790.242148031826,26081.010637647123
420.0,26999.891248898246,25922.05720206591,25888.868339237888,25897.447002393998,26177.06594814901
421.0,27091.001035106012,26015.172734281194,25982.566759149602,26005.031199227033,26273.44293194096
422.0,27182.3633918849,26108.61638226884,26076.594108230045,26112.99453010013,26370.14210312098
423.0,27273.979019400016,26202.38892878768,26170.951167985204,26221.33677869455,26467.163973716863
424.0,27365.84861975743,26296.49115540846,26265.638718719892,26330.05772081551,26564.50905367532
425.0,27457.972897009582,26390.9238424832,26360.65753950709,26439.157124404603,26662.17785085112
426.0,27550.352557160622,26485.687769114484,26456.00840815708,26548.634749552333,26760.17087099613
427.0,27642.98830817188,26580.7837131244,26551.692101186443,26658.490348511245,26858.48861774849
428.0,27735.880859967263,26676.212451023486,26647.709393786747,26768.723665709153,26957.131592621663
429.0,27829.030924438674,26771.974757979282,26744.06105979317,26879.33443776282,27056.10029499349
430.0,27922.439215451523,26868.07140778486,26840.747871652817,26990.32239349201,27155.395222095303
431.0,28016.106448850158,26964.503172827004,26937.770600392938,27101.687253933775,27255.01686900097
432.0,28110.033342463335,27061.27082405435,27035.13001558892,27213.428732357108,27354.965728615927
433.0,28204.220616109786,27158.37513094522,27132.826885332015,27325.546534277943,27455.24229166624
434.0,28298.66899160365,27255.816861475338,27230.86197619701,27438.040357474496,27555.847046687624
435.0,28393.379192760076,27353.596782085275,27329.236053209577,27550.909892002866,27656.780480014448
436.0,28488.35194540074,27451.715657647786,27427.949879813525,27664.15482021297,27758.043075768757
437.0,28583.58797735939,27550.17425143491,27527.004217837763,27777.774816764904,27859.635315849242
438.0,28679.08801848747,27648.973325084895,27626.399827463232,27891.76954864543,27961.557679920257
439.0,28774.852800659653,27748.113638568895,27726.13746718939,28006.13867518493,28063.810645400717
440.0,28870.883057779516,27847.595950157563,27826.21789380081,28120.88184807467,28166.39468745314
441.0,28967.17952578512,27947.42101638733,27926.64186233332,28235.998711384236,28269.3102789725
442.0,29063.742942654644,28047.589592026612,28027.4101260401,28351.488901579494,28372.55789057521
