date,time_idx,best_model_forecast,best_ensemble_forecast,lower_bound_ci,upper_bound_ci
2028-03-12,1105.0,157319.1867858359,91217.44158702635,133617.3998021583,178888.61231233698
2028-03-19,1106.0,157506.7468795981,91319.58520629787,133838.1963481311,179063.92245123023
2028-03-26,1107.0,157693.91371016647,92183.45419236203,134058.71456770133,179230.817755656
2028-04-02,1108.0,157880.6866025171,92275.05940001065,134278.95264678187,179394.94548030652
2028-04-09,1109.0,158067.06489249668,92590.67807881694,134498.90878187318,179558.57786257126
2028-04-16,1110.0,158253.04792680134,93119.00460065794,134718.58118011008,179721.71512860412
2028-04-23,1111.0,158438.63506295468,93443.23688458867,134937.96805930717,179884.3575152422
2028-04-30,1112.0,158623.82566928523,99909.69197713776,135157.06764800329,180046.50526993425
2028-05-07,1113.0,158808.61912490387,99915.83873937611,135375.87818550615,180219.2501643733
2028-05-14,1114.0,158993.01481968028,100031.36623846271,135594.39792193507,180397.68097436114
2028-05-21,1115.0,159177.01215421906,100037.70590693326,135812.6251182633,180575.19953158524
2028-05-28,1116.0,159360.6105398356,100330.50308602129,136030.55804635977,180734.63294430444
2028-06-04,1117.0,159543.80939853104,100546.73411243554,136248.1949890298,180880.98681623946
2028-06-11,1118.0,159726.60816296726,100845.36269323085,136465.53424005493,181026.93273550656
2028-06-18,1119.0,159909.00627644086,101110.80417029758,136682.57410423207,181172.47095789266
2028-06-25,1120.0,160091.0031928574,102580.47688077381,136899.31289741187,181327.58890569507
2028-07-02,1121.0,160272.5983767042,102636.44807136952,137115.74894653598,181488.96423140244
2028-07-09,1122.0,160453.79130302387,102851.26467221856,137331.88058967414,181667.00385820467
2028-07-16,1123.0,160634.58145738617,102886.23649134817,137547.70617605955,181855.03681862573
2028-07-23,1124.0,160814.96833586058,103204.58035060254,137763.22406612427,182042.60071588273
2028-07-30,1125.0,160994.9514449876,103204.92462931923,137978.4326315333,182229.69529375722
2028-08-06,1126.0,161174.5303017498,103261.62005511529,138193.330255218,182416.32030729647
2028-08-13,1127.0,161353.704433543,103460.24182149966,138407.9153314088,182602.47552276697
2028-08-20,1128.0,161532.4733781462,103467.01651220332,138622.18626566685,182788.1607176079
2028-08-27,1129.0,161710.83668369157,103521.32224759599,138836.27088303427,182952.46692159807
2028-09-03,1130.0,161888.79390863416,103590.95218624844,139050.6019638871,183115.59095562523
2028-09-10,1131.0,162066.34462172067,103609.35244040257,139264.61514333906,183278.17987522844
2028-09-17,1132.0,162243.48840195837,104351.03497079619,139478.30885966323,183440.23422113532
2028-09-24,1133.0,162420.22483858335,104398.32102909982,139691.68156260657,183601.5157892268
2028-10-01,1134.0,162596.55353102845,104504.07951962086,139904.7317134174,183762.14761498504
2028-10-08,1135.0,162772.47408889062,104506.87343896567,140117.4577848722,183922.2463602438
2028-10-15,1136.0,162947.98613189842,104682.31093057936,140329.85826130176,184081.81261355436
2028-10-22,1137.0,163123.08928987835,104710.3674513287,140541.93163861634,184240.84697330312
2028-10-29,1138.0,163297.78320272162,104777.88039743545,140753.67642433004,184399.3500476218
2028-11-05,1139.0,163472.06752034993,105163.00039416176,140965.0911375844,184557.32245429762
2028-11-12,1140.0,163645.94190268122,105182.07492540592,141176.1743091714,184714.76482068372
2028-11-19,1141.0,163819.40601959525,105233.54980302723,141386.92448155506,184871.67778360983
2028-11-26,1142.0,163992.45955089797,105564.10171986421,141597.34020889312,185028.06198929253
2028-12-03,1143.0,164165.10218628685,105584.8095866864,141807.42005705717,185183.91809324617
2028-12-10,1144.0,164337.3336253146,105663.92966912879,142017.1626036523,185339.24676019372
2028-12-17,1145.0,164509.15357735346,105753.51688437347,142226.56643803595,185494.04866397762
2028-12-24,1146.0,164680.56176155852,105781.99995262701,142435.63016133607,185659.13924659195
